x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.1046953,53.4845213,,0,0,32,0,0,0,0
-2.1047086,53.4899143,,0,0,109,0,0,0,0
-2.1047219,53.4953074,,0,0,55,0,0,0,0
-2.1047374,53.5015993,,0,0,39,0,0,0,0
-2.1047485,53.5060935,,0,0,13,0,0,0,0
-2.1047619,53.5114865,,0,0,13,0,0,0,0
-2.1047752,53.5168795,,0,0,82,0,0,0,0
-2.1048264,53.5375527,,0,0,136,0,0,0,0
-2.1048375,53.5420469,,0,0,9,0,0,0,0
-2.1048397,53.5429457,,0,0,6,0,0,0,0
-2.1048598,53.5510352,,0,0,40,0,0,0,0
-2.1048843,53.5609223,,0,0,14,0,0,0,0
-2.2655402,53.4204534,,46644,87029777,22,0,0,0,0
-2.2655963,53.4294419,,201893,1630443661,38,0,2,0,0
-2.2656636,53.4402279,,318406,2147483647,58,0,2,1,0
-2.2656917,53.4447221,,332608,130162215,59,2,1,1,1
-2.2657816,53.4591036,,316331,2147483647,166,6,7,4,6
-2.2658602,53.4716873,,275607,2147483647,125,2,1,4,5
-2.2659897,53.4923604,,208482,1738603440,62,0,3,0,1
-2.2661361,53.51573,,151027,912375095,18,0,1,0,0
-2.26617,53.521123,,140433,788862478,122,3,0,1,3
-2.2663223,53.5453913,,100186,401494571,39,0,0,0,1
-2.2666561,53.5984217,,21421,18355488,47,1,0,0,0
-2.1061977,53.4827223,,0,0,21,0,0,0,0
-2.1062135,53.4890142,,0,0,156,0,0,0,0
-2.1062292,53.4953061,,0,0,74,0,0,0,0
-2.1062405,53.4998002,,0,0,12,0,0,0,0
-2.1062856,53.517777,,0,0,71,0,0,0,0
-2.1062901,53.5195747,,0,0,73,0,0,0,0
-2.1063104,53.5276642,,0,0,3,0,0,0,0
-2.1063601,53.5474385,,0,0,25,0,0,0,0
-2.1063691,53.5510339,,0,0,131,0,0,0,0
-2.106403,53.5645163,,0,0,97,0,0,0,0
-2.1064166,53.5699093,,0,0,81,0,0,0,0
-2.106446,53.581594,,0,0,3,0,0,0,0
-2.1064868,53.5977729,,0,0,3,0,0,0,0
-2.1065661,53.6292317,,0,0,36,0,0,0,0
-2.0775946,53.4980247,,0,0,49,0,0,0,0
-2.0776095,53.5061142,,0,0,20,0,0,0,0
-2.0776523,53.529484,,0,0,24,0,0,0,0
-2.0777052,53.5582466,,0,0,55,0,0,0,0
-2.0777118,53.561842,,0,0,6,0,0,0,0
-2.1048999,53.5672141,,0,0,14,0,0,0,0
-2.1049333,53.5806965,,0,0,7,0,0,0,0
-2.1049445,53.5851907,,0,0,56,0,0,0,0
-2.1050518,53.6283342,,0,0,2,0,0,0,0
-2.263952,53.4069741,,1,0,6,0,0,0,0
-2.2641192,53.4339394,,187460,1405653060,54,0,0,0,0
-2.2641527,53.4393324,,244070,2147483647,68,2,3,2,2
-2.2641806,53.4438266,,274336,2147483647,42,0,0,0,1
-2.2643314,53.4680953,,281579,2147483647,27,1,1,1,2
-2.2643426,53.4698929,,277275,2147483647,46,2,4,0,1
-2.2644656,53.4896673,,222732,1984389026,58,1,3,1,2
-2.2645216,53.4986556,,198800,1580863644,55,0,0,3,0
-2.2646225,53.5148345,,161384,1041793017,47,0,1,0,1
-2.2650268,53.5795498,,50841,103395464,3,0,0,0,0
-2.2651676,53.6020203,,19243,14812609,5,0,0,0,0
-2.0761405,53.5276873,,0,0,38,0,0,0,0
-2.0761438,53.5294849,,0,0,51,0,0,0,0
-2.0761583,53.5375745,,0,0,33,0,0,0,0
-2.0761794,53.5492593,,0,0,5,0,0,0,0
-2.076181,53.5501581,,0,0,151,0,0,0,0
-2.0762442,53.5852125,,0,0,3,0,0,0,0
-2.1046886,53.4818248,,0,0,115,0,0,0,0
-2.1046975,53.4854201,,0,0,223,0,0,0,0
-2.1047175,53.4935097,,0,0,82,0,0,0,0
-2.1047263,53.4971051,,0,0,71,0,0,0,0
-2.1047286,53.4980039,,0,0,121,0,0,0,0
-2.1047419,53.5033969,,0,0,82,0,0,0,0
-2.1047441,53.5042958,,0,0,14,0,0,0,0
-2.1047708,53.5150818,,0,0,84,0,0,0,0
-2.1047841,53.5204748,,0,0,86,0,0,0,0
-2.1047886,53.5222725,,0,0,43,0,0,0,0
-2.104793,53.5240702,,0,0,87,0,0,0,0
-2.1048175,53.5339574,,0,0,3,0,0,0,0
-2.1048286,53.5384515,,0,0,201,0,0,0,0
